device_id,current,active_power,reactive_power,ts_id,device_type,device_location,device_brand,device_category,description,synthetic
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2861,37.58,9.29,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2869,37.42,9.32,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2846,37.38,9.33,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.0906,9.29,7.51,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.0906,9.29,7.51,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2719,34.3,9.1,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2854,37.46,9.28,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.1123,11.32,7.59,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.1123,11.32,7.59,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.1123,11.32,7.59,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2861,37.57,9.37,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2884,37.79,9.38,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2884,37.63,9.4,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2884,37.63,9.4,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2899,37.79,9.39,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2899,37.78,9.44,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2914,38.0,9.42,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2914,38.0,9.42,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2929,37.73,9.44,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2936,37.95,9.4,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2921,38.0,9.39,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0059,0.0,-0.04,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0059,0.0,-0.04,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0059,0.0,-0.04,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0059,0.0,-0.04,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0059,0.0,-0.04,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0059,0.0,-0.04,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0059,0.0,-0.04,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0059,0.0,-0.07,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0059,0.0,-0.07,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0059,0.0,-0.07,112569,lamp,GB,Philips,office,filament,0
2177db4f-3df5-4984-8a37-b6080a2956e5,0.0059,0.0,-0.07,112569,lamp,GB,Philips,office,filament,0
